County,Number of Records,Year,Population,fips
Republic,1,2018,4664,20157
Rice,1,2018,9531,20159
Riley,1,2018,73703,20161
Rooks,1,2018,5013,20163
Rush,1,2018,3093,20165
Russell,1,2018,6907,20167
Saline,1,2018,54401,20169
Scott,1,2018,4897,20171
Sedgwick,1,2018,513607,20173
Seward,1,2018,21780,20175
Shawnee,1,2018,177499,20177
Sheridan,1,2018,2533,20179
Sherman,1,2018,5899,20181
Smith,1,2018,3603,20183
Stafford,1,2018,4178,20185
Stanton,1,2018,1987,20187
Stevens,1,2018,5559,20189
Sumner,1,2018,22996,20191
Thomas,1,2018,7711,20193
Trego,1,2018,2793,20195
Wabaunsee,1,2018,6899,20197
Wallace,1,2018,1503,20199
Washington,1,2018,5420,20201
Wichita,1,2018,2105,20203
Wilson,1,2018,8665,20205
Woodson,1,2018,3183,20207
Wyandotte,1,2018,165324,20209
Kansas,1,2018,2911505,
